,var_insee,label,label_q,quantile,Fisca_1a,Fisca_1b,Fisca_1c,Fisca_1d,label_q,Ecolo_0a,Ecolo_0b,Ecolo_0c,Ecolo_0d,Ecolo_2a,Ecolo_2b,Ecolo_4a,Ecolo_4b,Ecolo_8a,Ecolo_8b,Ecolo_10a,Ecolo_10b,Ecolo_10c,Ecolo_12a,Ecolo_12b,Ecolo_12c,Ecolo_12d,Ecolo_12e,label_q,Cit_1a,Cit_1b,Cit_4a,Cit_4b,Cit_4c,Cit_7a,Cit_7b,Cit_10a,Cit_10b,Cit_13a,Cit_13b,Cit_13c,Cit_17a,Cit_17b,label_q,Etat_1a,Etat_1b,Etat_3a,Etat_3b,Etat_6a,Etat_6b,Etat_7a,Etat_7b,Etat_11a,Etat_11b,Etat_12a,Etat_12b,Etat_15a,Etat_15b,Etat_17a,Etat_17b
0,quantile_rev,Revenu médian,0.0,"[0.0,17587.6]",0.28811061286453427,0.3356560825929886,0.06058610043283797,0.8433184384983063,"[0.0,17676.6]",0.28841502133603053,0.4307532902267045,0.008781909850095746,0.27423942916842114,0.7007273127691396,0.2992726872308607,0.931167853832616,0.06883214616738395,0.6157208103668376,0.3842791896331624,0.43267726733398937,0.335490536234791,0.23183219643121944,0.7640764126041676,0.2603242119052663,0.17660902107744494,0.27616232662846146,0.47281467721025117,"[0.0,17726.5]",0.6007602226492073,0.39923977735079247,0.7671626487235346,0.13167873121830292,0.10115862005816251,0.7254755056124111,0.2745244943875888,0.8238221841979283,0.17617781580207176,0.5509117170973483,0.2320423081114318,0.2170459747912199,0.8741161112456364,0.12588388875436354,"[0.0,17834.0]",0.4582043604570217,0.5417956395429784,0.6987768543475844,0.30122314565241554,0.33971664918687206,0.6602833508131281,0.6499071147831686,0.35009288521683113,0.7638557197556682,0.23614428024433187,0.06509572821216186,0.9349042717878384,0.6853773118986078,0.3146226881013922,0.9062643246022488,0.09373567539775095
1,quantile_rev,Revenu médian,1.0,"[17587.6,18384.6]",0.2686066017849973,0.3676154667782146,0.058455051878337175,0.8412911526892084,"[17676.6,18502.7]",0.31953115698949924,0.3875878937632793,0.01029599582565846,0.28407472682365154,0.693893810557916,0.30610618944208395,0.9426622217771613,0.057337778222838934,0.628278927864989,0.37172107213501104,0.4284922001321314,0.36739632108373343,0.20411147878413535,0.7556854844311701,0.27729510939852486,0.18227443377023386,0.31713092815440247,0.461107745957055,"[17726.5,18548.4]",0.6172507662903247,0.3827492337096752,0.752723633415242,0.14362910149472694,0.10364726509003108,0.7261560830989641,0.27384391690103616,0.8374444240021455,0.16255557599785464,0.5143439015628561,0.2594877087202621,0.22616838971688163,0.8457351540343101,0.15426484596568993,"[17834.0,18669.5]",0.48989465723312114,0.5101053427668787,0.6807359982381012,0.3192640017618986,0.3223670818741055,0.6776329181258943,0.6564217521928436,0.3435782478071559,0.7915189726890031,0.20848102731099685,0.07359790307403041,0.9264020969259694,0.7075394367120003,0.2924605632879996,0.8966490999119884,0.10335090008801154
2,quantile_rev,Revenu médian,2.0,"[18384.6,18924.1]",0.28176268255000286,0.36563512856381064,0.07115627312426438,0.8450643178199325,"[18502.7,19038.7]",0.2941096636813736,0.39474364239888937,0.0065979095622181365,0.3046527390010851,0.6698909327111173,0.3301090672888826,0.9431865440064997,0.056813455993500225,0.6156319078422028,0.38436809215779727,0.3964402352178936,0.38779134316265723,0.21576842161944884,0.732230977790571,0.27131484525077965,0.18145188190328115,0.28813884196792267,0.43035096429798464,"[18548.4,19094.4]",0.618249972681273,0.3817500273187268,0.7684903127108791,0.13762978468844153,0.0938799026006789,0.699887509022782,0.30011249097721754,0.8294427263270646,0.17055727367293516,0.5206370510303523,0.2705476932657488,0.20881525570389903,0.8460311612285951,0.1539688387714048,"[18669.5,19196.9]",0.5053075612003236,0.4946924387996762,0.6887222093415234,0.31127779065847655,0.32475260766769437,0.6752473923323057,0.6997586295241833,0.3002413704758165,0.8136157092590979,0.18638429074090204,0.0977972924795795,0.9022027075204202,0.7215557268512941,0.27844427314870607,0.8891923464091868,0.11080765359081331
3,quantile_rev,Revenu médian,3.0,"[18924.1,19401.5]",0.3172522199916807,0.3857542524176498,0.06250980671345287,0.839438583050208,"[19038.7,19522.8]",0.2951351653651334,0.40832466609625745,0.0104369046913478,0.2890993972612709,0.6466017753212764,0.3533982246787235,0.9332162370347169,0.06678376296528342,0.5900175325410086,0.4099824674589915,0.4031215733301318,0.3761491987151232,0.22072922795474506,0.7482236087347073,0.26283413077891055,0.179482643294627,0.2698403771618853,0.44387172564866634,"[19094.4,19569.1]",0.5917038953976325,0.4082961046023674,0.752898540011218,0.14695727953652832,0.10014418045225405,0.740272177981989,0.25972782201801126,0.8158082943910575,0.1841917056089424,0.5220677092388042,0.2659161156960953,0.2120161750651003,0.8629019690862318,0.1370980309137685,"[19196.9,19710.6]",0.5100373773439101,0.48996262265608975,0.6905576510684782,0.30944234893152167,0.3053032472676998,0.6946967527322999,0.6757942679581779,0.32420573204182246,0.7953365339704294,0.20466346602957053,0.08137857431224174,0.9186214256877581,0.7025400735222576,0.2974599264777426,0.8911574291433432,0.1088425708566568
4,quantile_rev,Revenu médian,4.0,"[19401.5,19975.8]",0.25443012352730043,0.35925840069192494,0.0725955164288385,0.8568397984991019,"[19522.8,20123.3]",0.2698724464508507,0.4381677523067023,0.011594317340843433,0.2808729245751352,0.6418078723932433,0.35819212760675717,0.9403274415742046,0.05967255842579502,0.5799086492938944,0.4200913507061058,0.34015208224286797,0.500820672519245,0.1590272452378875,0.7292951804728006,0.28060978989670016,0.18075051497307415,0.3092838515456039,0.3840198546039056,"[19569.1,20157.9]",0.5973915073075939,0.40260849269240595,0.7740743280708023,0.12752619616583882,0.09839947576335843,0.7265889636298897,0.2734110363701102,0.8280674152391219,0.17193258476087822,0.5169224251961484,0.2691785258569813,0.21389904894686995,0.8571897111879395,0.14281028881206065,"[19710.6,20351.3]",0.4829256879926688,0.5170743120073312,0.6048814237649532,0.3951185762350469,0.3066300929016768,0.6933699070983237,0.6190645854488167,0.38093541455118307,0.7784408053241406,0.22155919467585947,0.08761606651736008,0.9123839334826397,0.7045406243385296,0.2954593756614701,0.8990287340979307,0.10097126590206928
5,quantile_rev,Revenu médian,5.0,"[19975.8,20620.9]",0.30062189274529655,0.3597959824637202,0.07981609665531433,0.8311097010035376,"[20123.3,20768.4]",0.2693246942633272,0.4191599651861271,0.010833795995909907,0.30880457941202444,0.679021451433343,0.3209785485666564,0.9458808291628835,0.05411917083711653,0.6064494649211556,0.39355053507884463,0.43313638403787824,0.342696273013794,0.22416734294832802,0.7736324999656261,0.2744362159856999,0.1901243736051942,0.2641572873664413,0.46982834196832357,"[20157.9,20819.5]",0.6008509659509278,0.39914903404907226,0.7644559179232278,0.13042044050408738,0.10512364157268478,0.722761623416382,0.2772383765836181,0.8397891247158003,0.1602108752842001,0.5210381425490334,0.26673241436329503,0.212229443087672,0.86928950996616,0.13071049003384022,"[20351.3,21037.4]",0.5198808744068375,0.4801191255931627,0.7185377510431958,0.2814622489568045,0.3075464610929416,0.6924535389070585,0.7137959322360232,0.28620406776397694,0.7963875695433272,0.20361243045667293,0.07781070637567512,0.922189293624325,0.7344431482608368,0.2655568517391633,0.8945964264125811,0.10540357358741916
6,quantile_rev,Revenu médian,6.0,"[20620.9,21418.3]",0.29491652717821243,0.38524659672394257,0.07003343238155277,0.8301695416377045,"[20768.4,21594.8]",0.24799281539530854,0.43049359080811006,0.015187353471418787,0.31116076376211077,0.6575646115128126,0.34243538848718724,0.9447929034330201,0.05520709656697952,0.596066679253096,0.40393332074690363,0.40708609998840894,0.3608475729730112,0.23206632703857985,0.7476748823844674,0.2981818033009544,0.18845254884991158,0.2905404914804232,0.48303242580021855,"[20819.5,21640.5]",0.6292861807981359,0.3707138192018638,0.7652457771972471,0.12980480849077927,0.10494941431197376,0.7160686712140967,0.28393132878590366,0.8308113301383797,0.16918866986162037,0.5390640051830935,0.24308183487060106,0.21785415994630572,0.8734323581206657,0.12656764187933459,"[21037.4,21937.9]",0.5132020630870425,0.48679793691295736,0.7141189232891161,0.28588107671088425,0.29122482776615294,0.7087751722338467,0.7083067088978725,0.29169329110212733,0.7835773362799328,0.21642266372006705,0.08220473678630162,0.9177952632136982,0.7160503159305635,0.28394968406943666,0.8958598348547131,0.1041401651452873
7,quantile_rev,Revenu médian,7.0,"[21418.3,22565.1]",0.29177995320084527,0.3748794617518615,0.05660463807733599,0.8476809520978313,"[21594.8,22747.7]",0.295107166380323,0.4131638852121181,0.009961712160013068,0.287968769527202,0.6647074179476358,0.335292582052364,0.9416566600086768,0.05834333999132356,0.6071051734056765,0.39289482659432334,0.4219993039065525,0.4350416951669013,0.14295900092654618,0.7534313066924955,0.27572409228284656,0.16391355091581897,0.27770200539210294,0.42701405970789896,"[21640.5,22783.7]",0.5945206873697559,0.405479312630244,0.7671916813193125,0.13043700100514802,0.10237131767553982,0.7375254315500424,0.26247456844995753,0.8310238913851988,0.16897610861480097,0.5378894828758048,0.2452475073864012,0.21686300973779388,0.8742897677148619,0.12571023228513806,"[21937.9,23088.4]",0.5126613868819023,0.4873386131180975,0.6942436970883157,0.30575630291168393,0.2917637630569011,0.7082362369430991,0.65500800374535,0.3449919962546501,0.799655552499161,0.20034444750083844,0.07894414028740647,0.9210558597125936,0.7251974602409672,0.27480253975903324,0.897723799714402,0.10227620028559835
8,quantile_rev,Revenu médian,8.0,"[22565.1,24376.5]",0.31209925180977865,0.38926642546798296,0.05181925397015582,0.8440916199092932,"[22747.7,24603.2]",0.3012597219129435,0.4191452730385079,0.007875264149529264,0.2740413779596625,0.6658714515646224,0.3341285484353777,0.9484468644795006,0.051553135520499546,0.5911365145594516,0.40886348544054824,0.45238963418577854,0.3726177538234746,0.17499261199074698,0.7602022199468798,0.25569425830039105,0.16866968716566022,0.3015483324079258,0.45632008465723434,"[22783.7,24686.3]",0.5964016395813213,0.40359836041867847,0.7464289942899273,0.13473273985130532,0.11883826585876739,0.7319611280313275,0.268038871968673,0.822634258652698,0.17736574134730188,0.519466078925694,0.27213524378297216,0.20839867729133374,0.8724016575506947,0.12759834244930557,"[23088.4,25241.0]",0.49296374825413625,0.5070362517458639,0.7018675712071701,0.2981324287928301,0.2894032760306225,0.7105967239693778,0.7061070330016737,0.29389296699832645,0.7887425499570153,0.21125745004298482,0.10065143173421039,0.8993485682657893,0.7330944353992961,0.26690556460070386,0.902812288785625,0.0971877112143747
9,quantile_rev,Revenu médian,9.0,>24376.5,0.41545344694489794,0.43827000276256367,0.05372425893820933,0.8161909902921499,>24603.2,0.31665763397172475,0.4168060631086419,0.006545539808254983,0.26239228430274947,0.6442290017179436,0.3557709982820566,0.9489620382383015,0.05103796176169868,0.5976066115133575,0.4023933884866429,0.4740968133610771,0.24870198747754593,0.2772011991613772,0.7706609916043489,0.22235003205285098,0.1661878553832599,0.2858464793777866,0.48948886564441574,>24686.3,0.5712230258593434,0.42877697414065663,0.7203348719959086,0.16592441990394885,0.11374070810014228,0.7280691286914822,0.2719308713085174,0.7830514396262712,0.21694856037372898,0.49920445635126953,0.3022630850252817,0.19853245862344918,0.860073509445397,0.139926490554603,>25241.0,0.5296070637440085,0.47039293625599177,0.7691817631695772,0.23081823683042255,0.29453507506161164,0.7054649249383883,0.7370711413257767,0.26292885867422333,0.8028366921480022,0.19716330785199687,0.08497657156224252,0.9150234284377576,0.7192070531112715,0.2807929468887286,0.9174424538795731,0.08255754612042655
