,0,1,id,word
139,-2.2635345,0.95338947,690,ressource
140,1.0483431,3.2712483,197,lieu
141,4.2134547,0.49216977,1018,route
142,-0.006547787,-2.1022017,149,j
143,3.5994554,2.116742,856,carburant
144,-0.77314323,0.6435209,1050,mieux
145,2.4322293,1.1314203,512,rendre
146,2.6908987,2.8613036,784,solaire
147,4.1072173,0.010007059,129,petit
148,1.9600405,2.4538152,871,renouvelable
149,3.086694,0.30881512,268,nombre
150,0.97383666,2.4818435,344,polluante
151,1.5403634,0.49856228,480,type
152,1.3813139,2.5956707,481,carbone
153,-1.2434798,3.6994426,779,ex
154,1.2616104,3.2590363,137,utiliser
155,2.4911208,2.8749151,861,électricité
156,1.1534339,-1.3459249,679,quelque
157,-1.0147418,0.64187247,1395,changement
158,-0.35447705,0.29302245,93,grand
159,0.6590363,0.7684914,61,cas
160,0.12193729,0.861481,1189,également
161,1.512724,-0.15803643,196,compte
162,0.00046821506,-1.1747081,965,point
163,2.0586667,0.780839,558,achat
164,-1.2953875,-1.0002272,1924,rien
165,0.48193964,0.68159795,173,soient
166,0.6162302,4.613174,373,emballage
167,-1.9239918,3.332196,1139,espace
168,1.1729888,1.8170246,1364,aider
169,0.44638342,1.5414053,500,imposer
170,-0.43269163,0.6036284,234,nécessaire
171,0.09959707,1.6222558,1672,europe
172,-1.5837193,3.400713,2276,construction
173,1.6160058,2.8010383,1360,gaz
174,-1.1542222,-0.42414045,1329,sen
175,4.1904106,2.2688196,112,avion
176,1.5175235,2.7376432,122,émission
177,-1.067756,1.6093,605,activité
178,-0.5448899,0.6817605,1322,partie
179,-0.5190851,2.5793855,451,locale
180,-0.07697686,0.21875462,351,part
181,1.048211,0.85317665,2032,celle
182,-0.13686033,0.6576083,257,façon
183,-0.6739645,0.94117755,718,responsable
184,-0.63433003,3.3393595,327,supprimer
185,0.1143366,0.71832687,293,manière
186,1.9551452,1.1870874,102,commune
187,-1.2468408,-0.7355273,722,va
188,-2.1672676,0.7003561,36,fin
189,-2.5278785,3.1427472,42,campagne
190,1.3210601,1.5841708,98,éviter
191,-2.7705295,2.3430765,1505,certaine
192,1.53944,1.2201704,717,permettre
193,0.050822657,0.42368317,361,grands
194,0.48283306,1.5725892,121,matière
195,2.342948,2.987238,328,centrale
196,4.594868,1.5456145,332,camion
197,-3.178653,2.7433093,494,animaux
