,0,1,id,word,degree
121,-0.18936032,2.703802,146,contribution,2295
122,-3.4670908,0.258434,1657,voir,1355
123,-0.32800287,2.9592764,368,cet,1622
124,0.22084321,3.1534534,740,déjà,1737
125,-1.7898009,-1.4221301,2723,optimisation,2730
126,-1.8916161,2.08898,1126,arrêter,2289
127,2.2709801,1.3352458,194,achat,1740
128,4.697358,-1.015102,251,ex,1439
129,-0.4920438,3.1030567,46,retraité,2327
130,1.3528615,0.33893597,203,activité,1533
131,-2.3475332,1.9434968,774,j,1360
132,4.1661854,0.15165958,1415,prix,1361
133,2.7938497,1.5100263,5,habitation,2778
134,0.4778795,3.4338644,144,baisse,1881
135,-0.27746445,2.856531,1459,paye,3342
136,-0.15751134,1.5868808,885,aujourd,1640
137,-0.5571582,1.3084458,1312,surtout,1566
138,-0.1557671,1.6068627,886,hui,1648
139,1.0089487,2.3180327,451,prélèvement,1987
140,0.4742106,3.3908,190,augmentation,1949
141,-1.2795514,2.2614262,1778,paient,2556
142,0.09794484,2.966832,1218,payé,2482
143,-0.8113347,-1.9806476,2041,bénéfice,2172
144,1.4211073,-1.8802305,97,fonctionnaire,1690
145,2.9051998,0.8335738,306,logement,1726
146,0.7417665,0.30374995,14,besoin,1342
147,2.8481889,1.3691442,355,valeur,1405
148,0.94945765,3.1944618,1291,selon,1837
149,-1.0763767,3.2545376,1511,petit,1606
150,-0.7771739,1.3945522,1572,injuste,2100
151,4.7309523,-0.5570596,1298,base,1624
152,-0.060483873,2.8890903,217,façon,1694
153,3.7526114,-1.0106177,556,coût,1465
154,1.4162,1.3511016,1106,certaine,1503
155,0.15972945,3.1978157,183,également,1409
156,1.5447524,-2.005991,110,fin,1337
157,1.5124639,-2.2803135,482,frais,1440
158,1.5911533,1.6947078,35,imposer,2607
159,1.2449033,1.2614855,218,baisser,2619
160,1.2075917,0.8050211,509,notamment,1432
161,0.38370144,3.050783,1593,foyer,2711
162,-0.6229299,3.4286413,531,patrimoine,1835
163,1.828467,-0.9093344,350,publics,1404
164,-0.3263686,2.6698384,686,effort,1825
165,0.30905935,2.9767601,950,devraient,1669
166,-2.1056478,1.6064026,1081,après,1114
167,0.22189844,2.8902335,3390,manière,1520
168,-1.0040598,1.7529546,1264,peuvent,1183
169,-0.2866473,0.76591223,212,budget,1205
170,-0.37174308,1.2759894,819,souvent,982
171,-0.057942912,2.9068909,1569,paie,2984
172,-1.1802722,1.9017638,811,celui,1356
173,-1.9637213,-1.4931091,1351,lutter,2880
174,0.6752045,3.3590293,364,deux,1368
175,-1.3632393,2.563376,1214,pauvre,1837
176,-0.40356287,2.7254472,1223,payent,2389
177,-0.1154934,0.819504,367,économique,975
178,-1.0017935,1.6692404,683,ailleur,993
179,-0.115544915,2.8640623,728,premier,1961
180,1.1434696,1.2470345,1019,source,1536
181,1.6611112,1.2659597,120,fortune,1626
182,2.5007558,1.0212772,533,immobilier,1543
183,0.67496103,2.9915679,573,rapport,1257
184,-0.008910071,0.55300134,1744,éviter,1318
185,0.21037202,0.6570537,2926,efficace,1565
186,-0.43948883,1.5251344,804,donner,1315
187,4.707974,-0.53235495,757,première,2428
188,2.3037887,-0.27095944,790,prendre,1492
189,-0.7749962,1.5149705,247,sera,1007
190,0.8692055,0.8805458,43,diminuer,2067
191,-2.102028,-1.0306377,1434,contrôle,1410
192,-0.048352152,-0.64300644,653,financier,1308
193,0.7631141,3.3384902,366,ensemble,1702
194,1.4551288,1.729551,114,rétablir,2676
195,1.5249909,-1.0506794,272,public,1198
196,3.846774,-1.5113517,1155,taxation,1497
197,0.71234643,1.4472237,714,milliards,1538
198,-0.48087007,2.013968,661,lieu,1185
199,4.5422544,-0.2071654,91,luxe,2520
200,0.8210094,-2.6753366,994,grand,1087
201,1.2425468,0.28289992,942,ver,1183
202,-0.089809015,2.7921293,729,euro,2997
203,-1.0666473,3.3600802,162,situation,1164
204,-1.4932708,0.30725202,76,gouvernement,897
205,0.9747136,2.9014995,1146,ir,2282
206,-0.10649381,2.7776585,993,faible,1856
207,-1.9830863,-2.3928313,1160,europe,1193
208,-0.42181253,-2.013837,36,grands,1345
209,-0.53780097,1.3875538,1520,social,1117
210,1.1665565,-2.3109207,1354,élus,1488
211,0.8950862,0.72025776,2,richesse,1308
212,0.98811567,-0.163698,1127,petite,1284
213,-1.876274,1.9793727,276,dire,1047
214,0.55811256,3.129549,1209,bas,1753
215,2.4096162,2.5351176,215,allocation,2144
216,0.41385975,3.0947769,1331,imposable,2065
217,4.671803,-0.57380915,148,nécessité,2505
218,-0.7956712,-2.5782952,756,compris,1984
219,-1.5581795,-0.13881598,250,point,969
220,0.18462762,1.1210417,2807,simple,1141
221,-0.043600354,-0.620057,42,financière,1394
222,3.8445485,-1.2903001,1603,gros,1416
223,1.894533,1.6580809,147,cotisation,1420
224,-0.93574756,3.7003262,877,famille,1119
225,1.6344965,0.65933466,1535,réduction,1307
226,1.733313,-0.58109105,1191,collectivité,1107
227,0.24499713,2.595474,283,possible,1080
228,-0.72123414,3.4227695,1562,succession,1738
229,-1.190957,2.321306,1001,autant,1052
230,-1.2626431,2.3618762,643,seul,1210
231,0.64475477,0.9598416,527,nationale,993
232,1.0865365,1.5450097,599,anné,1059
233,-0.10400454,0.7110743,822,sen,911
234,0.630912,3.1818485,1134,élevé,1541
235,-0.22847177,2.7155676,758,symbolique,2920
236,-0.8387035,3.8048742,1616,ayant,1202
