"X","var_insee","label","label_q","quantile","Fisca_1a","Fisca_1b","Fisca_1c","Fisca_1d","Ecolo_0a","Ecolo_0b","Ecolo_0c","Ecolo_0d","Ecolo_2a","Ecolo_2b","Ecolo_4a","Ecolo_4b","Ecolo_8a","Ecolo_8b","Ecolo_10a","Ecolo_10b","Ecolo_10c","Ecolo_12a","Ecolo_12b","Ecolo_12c","Ecolo_12d","Ecolo_12e","Cit_1a","Cit_1b","Cit_4a","Cit_4b","Cit_4c","Cit_7a","Cit_7b","Cit_10a","Cit_10b","Cit_13a","Cit_13b","Cit_13c","Cit_17a","Cit_17b","Etat_1a","Etat_1b","Etat_3a","Etat_3b","Etat_6a","Etat_6b","Etat_7a","Etat_7b","Etat_11a","Etat_11b","Etat_12a","Etat_12b","Etat_15a","Etat_15b","Etat_17a","Etat_17b","Count_pourmil_CP","perc_etat","perc_ecolo","perc_cit"
0,"quantile_rev","Revenu médian","0.0","[0.0,17587.6]",0.288110612864534,0.335656082592989,0.060586100432838,0.843318438498306,0.288415021336031,0.430753290226704,0.00878190985009575,0.274239429168421,0.70072731276914,0.299272687230861,0.931167853832616,0.068832146167384,0.615720810366838,0.384279189633162,0.432677267333989,0.335490536234791,0.231832196431219,0.764076412604168,0.260324211905266,0.176609021077445,0.276162326628461,0.472814677210251,0.600760222649207,0.399239777350792,0.767162648723535,0.131678731218303,0.101158620058163,0.725475505612411,0.274524494387589,0.823822184197928,0.176177815802072,0.550911717097348,0.232042308111432,0.21704597479122,0.874116111245636,0.125883888754364,0.458204360457022,0.541795639542978,0.698776854347584,0.301223145652416,0.339716649186872,0.660283350813128,0.649907114783169,0.350092885216831,0.763855719755668,0.236144280244332,0.0650957282121619,0.934904271787838,0.685377311898608,0.314622688101392,0.906264324602249,0.0937356753977509,0.0197604516901641,0.199894207881513,0.258661729701137,0.20560698227982
1,"quantile_rev","Revenu médian","1.0","[17587.6,18384.6]",0.268606601784997,0.367615466778215,0.0584550518783372,0.841291152689208,0.319531156989499,0.387587893763279,0.0102959958256585,0.284074726823652,0.693893810557916,0.306106189442084,0.942662221777161,0.0573377782228389,0.628278927864989,0.371721072135011,0.428492200132131,0.367396321083733,0.204111478784135,0.75568548443117,0.277295109398525,0.182274433770234,0.317130928154402,0.461107745957055,0.617250766290325,0.382749233709675,0.752723633415242,0.143629101494727,0.103647265090031,0.726156083098964,0.273843916901036,0.837444424002145,0.162555575997855,0.514343901562856,0.259487708720262,0.226168389716882,0.84573515403431,0.15426484596569,0.489894657233121,0.510105342766879,0.680735998238101,0.319264001761899,0.322367081874106,0.677632918125894,0.656421752192844,0.343578247807156,0.791518972689003,0.208481027310997,0.0735979030740304,0.926402096925969,0.707539436712,0.292460563288,0.896649099911988,0.103350900088012,0.0271649510152726,0.206434177017827,0.258094693622993,0.200561301387662
2,"quantile_rev","Revenu médian","2.0","[18384.6,18924.1]",0.281762682550003,0.365635128563811,0.0711562731242644,0.845064317819933,0.294109663681374,0.394743642398889,0.00659790956221814,0.304652739001085,0.669890932711117,0.330109067288883,0.9431865440065,0.0568134559935002,0.615631907842203,0.384368092157797,0.396440235217894,0.387791343162657,0.215768421619449,0.732230977790571,0.27131484525078,0.181451881903281,0.288138841967923,0.430350964297985,0.618249972681273,0.381750027318727,0.768490312710879,0.137629784688442,0.0938799026006789,0.699887509022782,0.300112490977218,0.829442726327065,0.170557273672935,0.520637051030352,0.270547693265749,0.208815255703899,0.846031161228595,0.153968838771405,0.505307561200324,0.494692438799676,0.688722209341523,0.311277790658477,0.324752607667694,0.675247392332306,0.699758629524183,0.300241370475817,0.813615709259098,0.186384290740902,0.0977972924795795,0.90220270752042,0.721555726851294,0.278444273148706,0.889192346409187,0.110807653590813,0.0305273121126892,0.204891616264183,0.26338792989272,0.198843318175798
3,"quantile_rev","Revenu médian","3.0","[18924.1,19401.5]",0.317252219991681,0.38575425241765,0.0625098067134529,0.839438583050208,0.295135165365133,0.408324666096257,0.0104369046913478,0.289099397261271,0.646601775321276,0.353398224678724,0.933216237034717,0.0667837629652834,0.590017532541009,0.409982467458991,0.403121573330132,0.376149198715123,0.220729227954745,0.748223608734707,0.262834130778911,0.179482643294627,0.269840377161885,0.443871725648666,0.591703895397632,0.408296104602367,0.752898540011218,0.146957279536528,0.100144180452254,0.740272177981989,0.259727822018011,0.815808294391058,0.184191705608942,0.522067709238804,0.265916115696095,0.2120161750651,0.862901969086232,0.137098030913768,0.51003737734391,0.48996262265609,0.690557651068478,0.309442348931522,0.3053032472677,0.6946967527323,0.675794267958178,0.324205732041822,0.795336533970429,0.204663466029571,0.0813785743122417,0.918621425687758,0.702540073522258,0.297459926477743,0.891157429143343,0.108842570856657,0.0353148321028424,0.208887427905448,0.260705854227057,0.194961599378418
4,"quantile_rev","Revenu médian","4.0","[19401.5,19975.8]",0.2544301235273,0.359258400691925,0.0725955164288385,0.856839798499102,0.269872446450851,0.438167752306702,0.0115943173408434,0.280872924575135,0.641807872393243,0.358192127606757,0.940327441574205,0.059672558425795,0.579908649293894,0.420091350706106,0.340152082242868,0.500820672519245,0.159027245237887,0.729295180472801,0.2806097898967,0.180750514973074,0.309283851545604,0.384019854603906,0.597391507307594,0.402608492692406,0.774074328070802,0.127526196165839,0.0983994757633584,0.72658896362989,0.27341103637011,0.828067415239122,0.171932584760878,0.516922425196148,0.269178525856981,0.21389904894687,0.85718971118794,0.142810288812061,0.482925687992669,0.517074312007331,0.604881423764953,0.395118576235047,0.306630092901677,0.693369907098324,0.619064585448817,0.380935414551183,0.778440805324141,0.221559194675859,0.0876160665173601,0.91238393348264,0.70454062433853,0.29545937566147,0.899028734097931,0.100971265902069,0.0396106298638601,0.206823212813056,0.266331003949824,0.19527757281132
5,"quantile_rev","Revenu médian","5.0","[19975.8,20620.9]",0.300621892745297,0.35979598246372,0.0798160966553143,0.831109701003538,0.269324694263327,0.419159965186127,0.0108337959959099,0.308804579412024,0.679021451433343,0.320978548566656,0.945880829162884,0.0541191708371165,0.606449464921156,0.393550535078845,0.433136384037878,0.342696273013794,0.224167342948328,0.773632499965626,0.2744362159857,0.190124373605194,0.264157287366441,0.469828341968324,0.600850965950928,0.399149034049072,0.764455917923228,0.130420440504087,0.105123641572685,0.722761623416382,0.277238376583618,0.8397891247158,0.1602108752842,0.521038142549033,0.266732414363295,0.212229443087672,0.86928950996616,0.13071049003384,0.519880874406838,0.480119125593163,0.718537751043196,0.281462248956804,0.307546461092942,0.692453538907059,0.713795932236023,0.286204067763977,0.796387569543327,0.203612430456673,0.0778107063756751,0.922189293624325,0.734443148260837,0.265556851739163,0.894596426412581,0.105403573587419,0.0342671035805627,0.204235077489642,0.267638483965015,0.199355531686359
6,"quantile_rev","Revenu médian","6.0","[20620.9,21418.3]",0.294916527178212,0.385246596723943,0.0700334323815528,0.830169541637705,0.247992815395309,0.43049359080811,0.0151873534714188,0.311160763762111,0.657564611512813,0.342435388487187,0.94479290343302,0.0552070965669795,0.596066679253096,0.403933320746904,0.407086099988409,0.360847572973011,0.23206632703858,0.747674882384467,0.298181803300954,0.188452548849912,0.290540491480423,0.483032425800219,0.629286180798136,0.370713819201864,0.765245777197247,0.129804808490779,0.104949414311974,0.716068671214097,0.283931328785904,0.83081133013838,0.16918866986162,0.539064005183093,0.243081834870601,0.217854159946306,0.873432358120666,0.126567641879335,0.513202063087043,0.486797936912957,0.714118923289116,0.285881076710884,0.291224827766153,0.708775172233847,0.708306708897873,0.291693291102127,0.783577336279933,0.216422663720067,0.0822047367863016,0.917795263213698,0.716050315930563,0.283949684069437,0.895859834854713,0.104140165145287,0.0397054005930689,0.203573871409029,0.264990880072959,0.193399452804378
7,"quantile_rev","Revenu médian","7.0","[21418.3,22565.1]",0.291779953200845,0.374879461751861,0.056604638077336,0.847680952097831,0.295107166380323,0.413163885212118,0.00996171216001307,0.287968769527202,0.664707417947636,0.335292582052364,0.941656660008677,0.0583433399913236,0.607105173405676,0.392894826594323,0.421999303906552,0.435041695166901,0.142959000926546,0.753431306692495,0.275724092282847,0.163913550915819,0.277702005392103,0.427014059707899,0.594520687369756,0.405479312630244,0.767191681319312,0.130437001005148,0.10237131767554,0.737525431550042,0.262474568449958,0.831023891385199,0.168976108614801,0.537889482875805,0.245247507386401,0.216863009737794,0.874289767714862,0.125710232285138,0.512661386881902,0.487338613118098,0.694243697088316,0.305756302911684,0.291763763056901,0.708236236943099,0.65500800374535,0.34499199625465,0.799655552499161,0.200344447500838,0.0789441402874065,0.921055859712594,0.725197460240967,0.274802539759033,0.897723799714402,0.102276200285598,0.053349493365747,0.2043258443773,0.263649145900021,0.192568881443145
8,"quantile_rev","Revenu médian","8.0","[22565.1,24376.5]",0.312099251809779,0.389266425467983,0.0518192539701558,0.844091619909293,0.301259721912943,0.419145273038508,0.00787526414952926,0.274041377959662,0.665871451564622,0.334128548435378,0.948446864479501,0.0515531355204995,0.591136514559452,0.408863485440548,0.452389634185779,0.372617753823475,0.174992611990747,0.76020221994688,0.255694258300391,0.16866968716566,0.301548332407926,0.456320084657234,0.596401639581321,0.403598360418678,0.746428994289927,0.134732739851305,0.118838265858767,0.731961128031328,0.268038871968673,0.822634258652698,0.177365741347302,0.519466078925694,0.272135243782972,0.208398677291334,0.872401657550695,0.127598342449306,0.492963748254136,0.507036251745864,0.70186757120717,0.29813242879283,0.289403276030622,0.710596723969378,0.706107033001674,0.293892966998326,0.788742549957015,0.211257450042985,0.10065143173421,0.899348568265789,0.733094435399296,0.266905564600704,0.902812288785625,0.0971877112143747,0.0574946041244953,0.202242691229475,0.262264717661193,0.19373247897477
9,"quantile_rev","Revenu médian","9.0",">24376.5",0.415453446944898,0.438270002762564,0.0537242589382093,0.81619099029215,0.316657633971725,0.416806063108642,0.00654553980825498,0.262392284302749,0.644229001717944,0.355770998282057,0.948962038238301,0.0510379617616987,0.597606611513357,0.402393388486643,0.474096813361077,0.248701987477546,0.277201199161377,0.770660991604349,0.222350032052851,0.16618785538326,0.285846479377787,0.489488865644416,0.571223025859343,0.428776974140657,0.720334871995909,0.165924419903949,0.113740708100142,0.728069128691482,0.271930871308517,0.783051439626271,0.216948560373729,0.49920445635127,0.302263085025282,0.198532458623449,0.860073509445397,0.139926490554603,0.529607063744008,0.470392936255992,0.769181763169577,0.230818236830423,0.294535075061612,0.705464924938388,0.737071141325777,0.262928858674223,0.802836692148002,0.197163307851997,0.0849765715622425,0.915023428437758,0.719207053111272,0.280792946888729,0.917442453879573,0.0825575461204266,0.0859825759942046,0.191268104325522,0.259419825194809,0.195575504969541
